feature,coef_log_odds,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value
model_GPT-3.5,5.699331977681132,298.6678175433451,,,
model_Default (GPT-3.5),5.2778335494342805,195.9449102234383,,,
model_GPT-4,5.094135074138294,163.06274642697835,,,
model_OTHER,5.00318483525626,148.88658405424871,,,
model_GPT-4-GIZMO,4.68201277821936,107.987208275873,,,
model_Advanced Data Analysis,4.6075355788956776,100.23681926564566,,,
model_Plugins,4.192875408511612,66.21290665465129,,,
repo_language_JavaScript,1.5504958219074958,4.713806811951927,3.4055867520054157,6.524565744014574,8.91094072496261e-21
repo_language_C,1.4850872019112389,4.415350422987194,2.830740563637509,6.8870032132939984,5.847837018495128e-11
repo_language_OTHER,1.453296149627161,4.277189562476189,3.2902683309896816,5.560139390775004,1.8224048250275823e-27
repo_language_Java,1.3468567649136625,3.8453197710172393,2.5101903197009063,5.890582887411465,6.037312624040971e-10
repo_language_C#,1.3158338683678314,3.727858232613461,2.2878192210039026,6.074311674139156,1.2759453352057946e-07
repo_language_Go,1.3031566886488626,3.680897795700429,2.278032824289386,5.9476792598977495,1.0215358689685873e-07
repo_language_TypeScript,1.2090867688390985,3.3504235438293897,2.447054626816433,4.587285383837227,4.62167454539391e-14
repo_language_CSS,1.1152908905571388,3.050455398805007,2.3504943422335294,3.9588600461196544,5.0310459380415156e-17
repo_language_Python,0.90681139151085,2.4764136173844045,1.9161435321887696,3.200503668617009,4.2322681711081744e-12
repo_language_HTML,0.8253178657440566,2.2826062123478934,1.679437791560595,3.1024019745367317,1.3534392084449558e-07
repo_language_C++,0.7534542947098947,2.124325403309196,1.477452320154611,3.0544189870523417,4.769382158484806e-05
snapshot_snapshot_20230914,0.7075287214082202,2.028970905494057,1.3747756562692646,2.9944688913920285,0.0003670887807474
has_output_format_first,0.5609600568736554,1.7523540525272605,1.400341399383449,2.192854347347524,9.439854166742122e-07
snapshot_snapshot_20230817,0.448566525977615,1.5660656612650263,1.0740518956751004,2.2834666232322927,0.0197410064096864
first_specification_clarity_count,0.3872916605316059,1.4729860405204358,0.9716527649547834,2.232986879493971,0.0680774843557821
repo_language_Jupyter Notebook,0.3748483822663008,1.4547708288401455,1.0546696039099628,2.0066551236503805,0.0223519241292108
snapshot_snapshot_20230824,0.2382966148237667,1.269085566594812,0.8728838790966352,1.8451230615074417,0.2120412527526489
refinement_turns,0.1720501057068735,1.1877373441421832,1.1117566547251168,1.2689107752799818,3.381019083156188e-07
snapshot_snapshot_20230810,0.1517282693146457,1.1638439413486903,0.8205283704774392,1.65080546700158,0.3948844145884916
total_example_count,0.0041371606236528,1.0041457304868904,0.9854178913040964,1.0232294917242275,0.6666843993898051
iteration_count,0.0036727147775024,1.0036794674587808,0.9968173037154332,1.010588870842798,0.2940615216624109
first_prompt_tokens,-0.0004739754036521,0.999526136904945,0.9992508169270704,0.9998015327407412,0.0007459723185617
prompt_token_growth,-0.0005445354798021,0.9994556127527352,0.9991890001246292,0.9997222965208288,6.324604742171931e-05
first_constraint_count,-0.0592199544354037,0.9424994394243216,0.9119580495031496,0.9740636576420642,0.0004258779286649
has_specification_clarity_first,-0.0739679783211973,0.92870143194411,0.5383937010927841,1.6019621848183614,0.7903068560610961
snapshot_snapshot_20230907,-0.0820225393612359,0.9212511940488868,0.6176645874113993,1.3740528109169636,0.6875979105622607
snapshot_snapshot_20230831,-0.1820706127246994,0.83354247963196,0.571221130394171,1.216329418471538,0.3450257330124573
has_role_instruction_first,-0.4292807049683366,0.6509771710054937,0.4977183931442956,0.8514278013580633,0.0017225848600385
source_type_issue,-1.683999331102558,0.185630093308511,0.125395717026758,0.2747983133616392,3.969358481378925e-17
source_type_pr,-1.769799985090848,0.1703670613700897,0.1106024166542893,0.2624258716751494,9.806847876730515e-16
source_type_discussion,-2.209121275982547,0.1097970874755018,0.065421570707749,0.184272561598327,6.155762046934303e-17
source_type_file,-2.270570354778085,0.1032532722883234,0.0720726108149882,0.1479235748183767,3.4129824685552367e-35
source_type_hn,-2.757661579935426,0.0634399442819487,0.040829016112738,0.0985727042597321,1.4069824481589512e-34
snapshot_snapshot_20230803,-10.823385585926514,1.992798393959047e-05,,,
model_Default,-11.316036232968363,1.2176091611065884e-05,,,
snapshot_snapshot_20231012,-16.016225939073447,1.1072392022211841e-07,9.859676543759769e-305,1.0142320547350044e+304,0.9937140578478731
snapshot_snapshot_20240514,-16.242638558569656,8.829003774073969e-08,9.859676543759769e-305,1.0142320547350044e+304,0.9936251988183872
correction_cycles,-19.58367528273605,3.125488385102967e-09,9.859676543759769e-305,1.0142320547350044e+304,0.9710242715581782
