language,n_conversations,n_success,n_failure,roc_auc_mean,accuracy_mean,f1_mean
,1431,339,1092,0.6471506306449846,0.7533466533466534,0.37186938919204365
Assembly,25,18,7,0.7,0.72,0.7728571428571429
Astro,24,9,15,0.7,0.5900000000000001,0.5
Batchfile,67,48,19,0.3458333333333333,0.5846153846153845,0.7045689089032743
C,136,86,50,0.6681699346405229,0.6984126984126984,0.7856439435386805
C#,100,64,36,0.48055173992673994,0.6,0.7071639387679431
C++,186,94,92,0.5789627577716221,0.5266002844950213,0.5423349698004076
CSS,1313,960,353,0.8094226819248826,0.7357182248280265,0.7952765612558615
Dart,12,9,3,0.5555555555555555,0.6666666666666666,0.7746031746031746
Dockerfile,72,34,38,0.5550170068027211,0.5114285714285715,0.5736324786324787
Emacs Lisp,10,8,2,1.0,1.0,1.0
Go,110,69,41,0.6675976800976801,0.6363636363636364,0.7220952573566589
HTML,329,169,160,0.6015123663101605,0.5471794871794872,0.636750700280112
Java,163,112,51,0.6202317642831476,0.66875,0.7760774686306601
JavaScript,345,244,101,0.6392403628117914,0.5826086956521739,0.6520602128232651
Jupyter Notebook,270,108,162,0.6667162698412699,0.6777777777777778,0.5479585658533027
Kotlin,38,30,8,0.5499999999999999,0.6535714285714285,0.7355244755244756
Lua,14,9,5,0.1,0.26666666666666666,0.26
Makefile,14,12,2,0.5,0.7857142857142857,0.8782051282051282
PHP,45,27,18,0.6561111111111112,0.5777777777777777,0.6194805194805195
PowerShell,19,9,10,0.5,0.5166666666666667,0.5266666666666666
Python,703,378,325,0.7156809716599191,0.6756636271529889,0.7497605675234116
R,19,13,6,0.4666666666666666,0.55,0.6533333333333333
Ruby,26,19,7,0.5,0.6599999999999999,0.7253968253968254
Rust,63,46,17,0.6233333333333334,0.6461538461538462,0.7331244778613198
Shell,30,21,9,0.315,0.4333333333333333,0.5676190476190476
Swift,15,13,2,0.6904761904761905,0.7321428571428572,0.8452380952380952
TeX,12,4,8,0.5,0.5833333333333333,0.3333333333333333
TypeScript,652,456,196,0.6217944736422998,0.6043922489724016,0.683260866564523
Vue,12,8,4,0.5,0.41666666666666663,0.41666666666666663
