feature,coef_log_odds,odds_ratio,odds_ratio_ci_low,odds_ratio_ci_high,p_value,variant
model_GPT-3.5,5.699331977681132,298.6678175433451,,,,primary
model_Default (GPT-3.5),5.2778335494342805,195.9449102234383,,,,primary
model_GPT-4,5.094135074138294,163.06274642697835,,,,primary
model_OTHER,5.00318483525626,148.88658405424871,,,,primary
model_GPT-4-GIZMO,4.68201277821936,107.987208275873,,,,primary
model_Advanced Data Analysis,4.6075355788956776,100.23681926564566,,,,primary
model_Plugins,4.192875408511612,66.21290665465129,,,,primary
repo_language_JavaScript,1.5504958219074958,4.713806811951927,3.4055867520054153,6.524565744014574,8.91094072496261e-21,primary
repo_language_C,1.4850872019112387,4.415350422987194,2.830740563637509,6.8870032132939984,5.847837018495128e-11,primary
repo_language_OTHER,1.453296149627161,4.277189562476189,3.2902683309896816,5.560139390775004,1.8224048250275826e-27,primary
repo_language_Java,1.3468567649136625,3.8453197710172393,2.5101903197009063,5.890582887411465,6.037312624040972e-10,primary
repo_language_C#,1.3158338683678314,3.727858232613461,2.2878192210039026,6.074311674139156,1.2759453352057946e-07,primary
repo_language_Go,1.3031566886488626,3.680897795700429,2.278032824289386,5.9476792598977495,1.0215358689685873e-07,primary
repo_language_TypeScript,1.2090867688390983,3.3504235438293897,2.447054626816433,4.587285383837227,4.62167454539391e-14,primary
repo_language_CSS,1.1152908905571388,3.050455398805007,2.3504943422335294,3.9588600461196544,5.031045938041516e-17,primary
repo_language_Python,0.9068113915108501,2.4764136173844045,1.9161435321887699,3.200503668617009,4.2322681711081744e-12,primary
repo_language_HTML,0.8253178657440566,2.2826062123478934,1.679437791560595,3.1024019745367313,1.3534392084449555e-07,primary
repo_language_C++,0.7534542947098947,2.124325403309196,1.477452320154611,3.0544189870523417,4.769382158484806e-05,primary
snapshot_snapshot_20230914,0.7075287214082202,2.028970905494057,1.3747756562692646,2.9944688913920285,0.0003670887807474622,primary
has_output_format_first,0.5609600568736554,1.7523540525272603,1.400341399383449,2.192854347347524,9.439854166742122e-07,primary
snapshot_snapshot_20230817,0.448566525977615,1.5660656612650263,1.0740518956751004,2.2834666232322927,0.019741006409686436,primary
first_specification_clarity_count,0.3872916605316059,1.4729860405204358,0.9716527649547834,2.232986879493971,0.06807748435578213,primary
repo_language_Jupyter Notebook,0.3748483822663008,1.4547708288401455,1.0546696039099628,2.0066551236503805,0.022351924129210807,primary
snapshot_snapshot_20230824,0.23829661482376674,1.269085566594812,0.8728838790966352,1.8451230615074417,0.21204125275264896,primary
refinement_turns,0.1720501057068735,1.1877373441421832,1.1117566547251168,1.2689107752799818,3.3810190831561875e-07,primary
snapshot_snapshot_20230810,0.15172826931464578,1.1638439413486905,0.8205283704774392,1.65080546700158,0.39488441458849166,primary
total_example_count,0.004137160623652875,1.0041457304868904,0.9854178913040964,1.0232294917242277,0.6666843993898051,primary
iteration_count,0.0036727147775024514,1.0036794674587808,0.9968173037154333,1.010588870842798,0.29406152166241095,primary
first_prompt_tokens,-0.00047397540365213056,0.999526136904945,0.9992508169270705,0.9998015327407411,0.0007459723185617457,primary
prompt_token_growth,-0.0005445354798021645,0.9994556127527351,0.9991890001246292,0.9997222965208288,6.324604742171931e-05,primary
first_constraint_count,-0.059219954435403725,0.9424994394243216,0.9119580495031495,0.9740636576420642,0.0004258779286649982,primary
has_specification_clarity_first,-0.07396797832119736,0.9287014319441099,0.5383937010927841,1.6019621848183614,0.7903068560610961,primary
snapshot_snapshot_20230907,-0.08202253936123595,0.9212511940488869,0.6176645874113993,1.3740528109169636,0.6875979105622607,primary
